,code_module,code_presentation,module_presentation_length,starting_month,combination_course_key
0,AAA,2013J,268,Oct,AAA2013J
1,AAA,2014J,269,Oct,AAA2014J
2,BBB,2013J,268,Oct,BBB2013J
3,BBB,2014J,262,Oct,BBB2014J
4,BBB,2013B,240,Feb,BBB2013B
5,BBB,2014B,234,Feb,BBB2014B
6,CCC,2014J,269,Oct,CCC2014J
7,CCC,2014B,241,Feb,CCC2014B
8,DDD,2013J,261,Oct,DDD2013J
9,DDD,2014J,262,Oct,DDD2014J
10,DDD,2013B,240,Feb,DDD2013B
11,DDD,2014B,241,Feb,DDD2014B
12,EEE,2013J,268,Oct,EEE2013J
13,EEE,2014J,269,Oct,EEE2014J
14,EEE,2014B,241,Feb,EEE2014B
15,FFF,2013J,268,Oct,FFF2013J
16,FFF,2014J,269,Oct,FFF2014J
17,FFF,2013B,240,Feb,FFF2013B
18,FFF,2014B,241,Feb,FFF2014B
19,GGG,2013J,261,Oct,GGG2013J
20,GGG,2014J,269,Oct,GGG2014J
21,GGG,2014B,241,Feb,GGG2014B
